Region,Period,Unemployment_Rate,Year
North East,May 2015 to Jul 2015 ,8.6,2015
North West,May 2015 to Jul 2015 ,5.5,2015
Yorkshire and the Humber,May 2015 to Jul 2015 ,6.3,2015
East Midlands,May 2015 to Jul 2015 ,4.7,2015
West Midlands,May 2015 to Jul 2015 ,5.7,2015
East,May 2015 to Jul 2015 ,4.8,2015
London,May 2015 to Jul 2015 ,6.3,2015
South East,May 2015 to Jul 2015 ,4.4,2015
South West,May 2015 to Jul 2015 ,4.1,2015
North East,May 2016 to Jul 2016 ,7.4,2016
North West,May 2016 to Jul 2016 ,5.1,2016
Yorkshire and the Humber,May 2016 to Jul 2016 ,5.9,2016
East Midlands,May 2016 to Jul 2016 ,4.3,2016
West Midlands,May 2016 to Jul 2016 ,6.3,2016
East,May 2016 to Jul 2016 ,3.3,2016
London,May 2016 to Jul 2016 ,6.0,2016
South East,May 2016 to Jul 2016 ,3.4,2016
South West,May 2016 to Jul 2016 ,4.3,2016
North East,May 2017 to Jul 2017 ,6.0,2017
North West,May 2017 to Jul 2017 ,4.1,2017
Yorkshire and the Humber,May 2017 to Jul 2017 ,4.8,2017
East Midlands,May 2017 to Jul 2017 ,3.9,2017
West Midlands,May 2017 to Jul 2017 ,5.9,2017
East,May 2017 to Jul 2017 ,3.8,2017
London,May 2017 to Jul 2017 ,5.1,2017
South East,May 2017 to Jul 2017 ,3.1,2017
South West,May 2017 to Jul 2017 ,4.0,2017
North East,May 2018 to Jul 2018 ,4.5,2018
North West,May 2018 to Jul 2018 ,4.5,2018
Yorkshire and the Humber,May 2018 to Jul 2018 ,4.4,2018
East Midlands,May 2018 to Jul 2018 ,4.1,2018
West Midlands,May 2018 to Jul 2018 ,4.8,2018
East,May 2018 to Jul 2018 ,3.1,2018
London,May 2018 to Jul 2018 ,4.7,2018
South East,May 2018 to Jul 2018 ,3.7,2018
South West,May 2018 to Jul 2018 ,2.7,2018
North East,May 2019 to Jul 2019,5.1,2019
North West,May 2019 to Jul 2019,4.4,2019
Yorkshire and the Humber,May 2019 to Jul 2019,4.4,2019
East Midlands,May 2019 to Jul 2019,4.7,2019
West Midlands,May 2019 to Jul 2019,4.3,2019
East,May 2019 to Jul 2019,3.1,2019
London,May 2019 to Jul 2019,4.9,2019
South East,May 2019 to Jul 2019,2.8,2019
South West,May 2019 to Jul 2019,2.4,2019
North East,May 2020 to Jul 2020,5.5,2020
North West,May 2020 to Jul 2020,3.8,2020
Yorkshire and the Humber,May 2020 to Jul 2020,4.4,2020
East Midlands,May 2020 to Jul 2020,4.8,2020
West Midlands,May 2020 to Jul 2020,4.9,2020
East,May 2020 to Jul 2020,4.0,2020
London,May 2020 to Jul 2020,5.3,2020
South East,May 2020 to Jul 2020,3.6,2020
South West,May 2020 to Jul 2020,4.1,2020
North East,May 2021 to Jul 2021,5.2,2021
North West,May 2021 to Jul 2021,4.8,2021
Yorkshire and the Humber,May 2021 to Jul 2021,4.7,2021
East Midlands,May 2021 to Jul 2021,4.5,2021
West Midlands,May 2021 to Jul 2021,5.0,2021
East,May 2021 to Jul 2021,3.7,2021
London,May 2021 to Jul 2021,6.2,2021
South East,May 2021 to Jul 2021,4.1,2021
South West,May 2021 to Jul 2021,3.3,2021
North East,May 2022 to Jul 2022,4.6,2022
North West,May 2022 to Jul 2022,3.6,2022
Yorkshire and the Humber,May 2022 to Jul 2022,4.5,2022
East Midlands,May 2022 to Jul 2022,2.8,2022
West Midlands,May 2022 to Jul 2022,4.6,2022
East,May 2022 to Jul 2022,3.0,2022
London,May 2022 to Jul 2022,4.3,2022
South East,May 2022 to Jul 2022,3.6,2022
South West,May 2022 to Jul 2022,2.7,2022
North East,May 2023 to Jul 2023,4.9,2023
North West,May 2023 to Jul 2023,5.3,2023
Yorkshire and the Humber,May 2023 to Jul 2023,3.2,2023
East Midlands,May 2023 to Jul 2023,4.2,2023
West Midlands,May 2023 to Jul 2023,5.2,2023
East,May 2023 to Jul 2023,4.4,2023
London,May 2023 to Jul 2023,4.9,2023
South East,May 2023 to Jul 2023,3.9,2023
South West,May 2023 to Jul 2023,3.6,2023
North East,May 2024 to Jul 2024,5.8,2024
North West,May 2024 to Jul 2024,4.6,2024
Yorkshire and the Humber,May 2024 to Jul 2024,3.6,2024
East Midlands,May 2024 to Jul 2024,4.9,2024
West Midlands,May 2024 to Jul 2024,4.8,2024
East,May 2024 to Jul 2024,3.4,2024
London,May 2024 to Jul 2024,5.4,2024
South East,May 2024 to Jul 2024,3.5,2024
South West,May 2024 to Jul 2024,3.4,2024
North East,May 2025 to Jul 2025,5.0,2025
North West,May 2025 to Jul 2025,5.2,2025
Yorkshire and the Humber,May 2025 to Jul 2025,4.8,2025
East Midlands,May 2025 to Jul 2025,4.7,2025
West Midlands,May 2025 to Jul 2025,6.0,2025
East,May 2025 to Jul 2025,4.7,2025
London,May 2025 to Jul 2025,5.9,2025
South East,May 2025 to Jul 2025,3.8,2025
South West,May 2025 to Jul 2025,3.3,2025
